Iteração,API,TIPO,Tempo de Resposta (ms),Tamanho da Resposta (bytes)
24,GraphQL Get Repo PRs,graphql_1,484.83,3237
24,GraphQL Get Repo PRs More Info,graphql_2,867.44,27078
25,REST List Repos,rest,379.04,36311
25,GraphQL List Repos,graphql_1,453.26,1006
25,GraphQL List Repos More Info,graphql_2,1269.28,21604
25,REST Get Repo PRs,rest,775.53,1168277
25,GraphQL Get Repo PRs,graphql_1,471.06,3237
25,GraphQL Get Repo PRs More Info,graphql_2,920.66,27078
26,REST List Repos,rest,381.83,36311
26,GraphQL List Repos,graphql_1,711.98,1006
26,GraphQL List Repos More Info,graphql_2,1843.65,21604
26,REST Get Repo PRs,rest,846.14,1168277
26,GraphQL Get Repo PRs,graphql_1,485.28,3237
26,GraphQL Get Repo PRs More Info,graphql_2,921.10,27078
27,REST List Repos,rest,378.59,36311
27,GraphQL List Repos,graphql_1,409.37,1006
27,GraphQL List Repos More Info,graphql_2,1534.77,21604
27,REST Get Repo PRs,rest,674.82,1168277
27,GraphQL Get Repo PRs,graphql_1,451.52,3237
27,GraphQL Get Repo PRs More Info,graphql_2,921.24,27078
28,REST List Repos,rest,378.63,36311
28,GraphQL List Repos,graphql_1,512.36,1006
28,GraphQL List Repos More Info,graphql_2,1229.87,21604
28,REST Get Repo PRs,rest,710.20,1168277
28,GraphQL Get Repo PRs,graphql_1,618.49,3237
28,GraphQL Get Repo PRs More Info,graphql_2,1023.53,27078
29,REST List Repos,rest,378.78,36311
29,GraphQL List Repos,graphql_1,408.91,1006
29,GraphQL List Repos More Info,graphql_2,1434.91,21604
29,REST Get Repo PRs,rest,773.12,1168277
29,GraphQL Get Repo PRs,graphql_1,454.04,3237
29,GraphQL Get Repo PRs More Info,graphql_2,1125.90,27078
30,REST List Repos,rest,378.43,36311
30,GraphQL List Repos,graphql_1,511.53,1006
30,GraphQL List Repos More Info,graphql_2,1439.02,21604
30,REST Get Repo PRs,rest,788.01,1168277
30,GraphQL Get Repo PRs,graphql_1,433.79,3237
30,GraphQL Get Repo PRs More Info,graphql_2,923.18,27078
31,REST List Repos,rest,378.41,36311
31,GraphQL List Repos,graphql_1,408.45,1006
31,GraphQL List Repos More Info,graphql_2,1330.46,21604
