Iteração,API,TIPO,Tempo de Resposta (ms),Tamanho da Resposta (bytes)
26,GraphQL List Repos More Info,graphql_2,1538.08,21604
26,REST Get Repo PRs,rest,784.40,1168277
26,GraphQL Get Repo PRs,graphql_1,440.76,3237
26,GraphQL Get Repo PRs More Info,graphql_2,922.27,27078
27,REST List Repos,rest,408.03,36311
27,GraphQL List Repos,graphql_1,512.34,1006
27,GraphQL List Repos More Info,graphql_2,1637.30,21604
27,REST Get Repo PRs,rest,992.34,1168277
27,GraphQL Get Repo PRs,graphql_1,441.25,3237
27,GraphQL Get Repo PRs More Info,graphql_2,820.21,27078
28,REST List Repos,rest,410.00,36311
28,GraphQL List Repos,graphql_1,509.93,1006
28,GraphQL List Repos More Info,graphql_2,1433.59,21604
28,REST Get Repo PRs,rest,1021.55,1168277
28,GraphQL Get Repo PRs,graphql_1,614.40,3237
28,GraphQL Get Repo PRs More Info,graphql_2,929.33,27078
29,REST List Repos,rest,301.23,36311
29,GraphQL List Repos,graphql_1,509.41,1006
29,GraphQL List Repos More Info,graphql_2,1331.59,21604
29,REST Get Repo PRs,rest,888.16,1168277
29,GraphQL Get Repo PRs,graphql_1,374.86,3237
29,GraphQL Get Repo PRs More Info,graphql_2,885.49,27078
30,REST List Repos,rest,410.86,36311
30,GraphQL List Repos,graphql_1,509.86,1006
30,GraphQL List Repos More Info,graphql_2,1465.53,21604
30,REST Get Repo PRs,rest,963.86,1168277
30,GraphQL Get Repo PRs,graphql_1,758.44,3237
30,GraphQL Get Repo PRs More Info,graphql_2,869.32,27078
31,REST List Repos,rest,379.89,36311
31,GraphQL List Repos,graphql_1,589.01,1006
31,GraphQL List Repos More Info,graphql_2,1320.34,21604
31,REST Get Repo PRs,rest,903.58,1168277
31,GraphQL Get Repo PRs,graphql_1,528.31,3237
31,GraphQL Get Repo PRs More Info,graphql_2,923.98,27078
32,REST List Repos,rest,303.94,36311
32,GraphQL List Repos,graphql_1,408.86,1006
32,GraphQL List Repos More Info,graphql_2,1542.50,21604
32,REST Get Repo PRs,rest,775.19,1168277
32,GraphQL Get Repo PRs,graphql_1,427.81,3237
32,GraphQL Get Repo PRs More Info,graphql_2,841.96,27078
33,REST List Repos,rest,278.18,36311
33,GraphQL List Repos,graphql_1,541.03,1006
33,GraphQL List Repos More Info,graphql_2,1223.92,21604
33,REST Get Repo PRs,rest,788.01,1168277
33,GraphQL Get Repo PRs,graphql_1,438.59,3237
33,GraphQL Get Repo PRs More Info,graphql_2,832.58,27078
34,REST List Repos,rest,396.52,36311
34,GraphQL List Repos,graphql_1,409.02,1006
34,GraphQL List Repos More Info,graphql_2,1332.98,21604
34,REST Get Repo PRs,rest,681.10,1168277
34,GraphQL Get Repo PRs,graphql_1,441.89,3237
34,GraphQL Get Repo PRs More Info,graphql_2,1024.06,27078
35,REST List Repos,rest,409.20,36311
35,GraphQL List Repos,graphql_1,613.92,1006
35,GraphQL List Repos More Info,graphql_2,1332.16,21604
35,REST Get Repo PRs,rest,901.32,1168277
35,GraphQL Get Repo PRs,graphql_1,529.70,3237
35,GraphQL Get Repo PRs More Info,graphql_2,921.86,27078
36,REST List Repos,rest,308.60,36311
36,GraphQL List Repos,graphql_1,512.68,1006
36,GraphQL List Repos More Info,graphql_2,1327.46,21604
36,REST Get Repo PRs,rest,1221.78,1168277
36,GraphQL Get Repo PRs,graphql_1,518.84,3237
36,GraphQL Get Repo PRs More Info,graphql_2,817.99,27078
37,REST List Repos,rest,409.67,36311
37,GraphQL List Repos,graphql_1,511.07,1006
37,GraphQL List Repos More Info,graphql_2,1433.20,21604
37,REST Get Repo PRs,rest,786.53,1168277
37,GraphQL Get Repo PRs,graphql_1,441.90,3237
37,GraphQL Get Repo PRs More Info,graphql_2,819.30,27078
38,REST List Repos,rest,306.15,36311
38,GraphQL List Repos,graphql_1,510.98,1006
38,GraphQL List Repos More Info,graphql_2,1433.55,21604
38,REST Get Repo PRs,rest,860.37,1168277
38,GraphQL Get Repo PRs,graphql_1,469.66,3237
38,GraphQL Get Repo PRs More Info,graphql_2,820.27,27078
39,REST List Repos,rest,408.92,36311
39,GraphQL List Repos,graphql_1,510.60,1006
39,GraphQL List Repos More Info,graphql_2,1251.45,21604
39,REST Get Repo PRs,rest,1037.57,1168277
39,GraphQL Get Repo PRs,graphql_1,456.45,3237
39,GraphQL Get Repo PRs More Info,graphql_2,1648.26,27078
40,REST List Repos,rest,315.27,36311
40,GraphQL List Repos,graphql_1,430.88,1006
40,GraphQL List Repos More Info,graphql_2,1239.24,21604
40,REST Get Repo PRs,rest,851.26,1168277
40,GraphQL Get Repo PRs,graphql_1,447.81,3237
40,GraphQL Get Repo PRs More Info,graphql_2,921.81,27078
41,REST List Repos,rest,270.38,36311
41,GraphQL List Repos,graphql_1,423.27,1006
41,GraphQL List Repos More Info,graphql_2,1122.29,21604
41,REST Get Repo PRs,rest,789.28,1168277
41,GraphQL Get Repo PRs,graphql_1,551.87,3237
41,GraphQL Get Repo PRs More Info,graphql_2,1038.08,27078
42,REST List Repos,rest,307.06,36311
42,GraphQL List Repos,graphql_1,920.92,1006
42,GraphQL List Repos More Info,graphql_2,1638.09,21604
42,REST Get Repo PRs,rest,798.15,1168277
42,GraphQL Get Repo PRs,graphql_1,429.74,3237
42,GraphQL Get Repo PRs More Info,graphql_2,924.14,27078
43,REST List Repos,rest,304.68,36311
43,GraphQL List Repos,graphql_1,510.80,1006
43,GraphQL List Repos More Info,graphql_2,1639.04,21604
43,REST Get Repo PRs,rest,782.24,1168277
43,GraphQL Get Repo PRs,graphql_1,445.88,3237
43,GraphQL Get Repo PRs More Info,graphql_2,819.10,27078
44,REST List Repos,rest,408.56,36311
44,GraphQL List Repos,graphql_1,511.86,1006
44,GraphQL List Repos More Info,graphql_2,1433.61,21604
44,REST Get Repo PRs,rest,790.45,1168277
44,GraphQL Get Repo PRs,graphql_1,538.93,3237
44,GraphQL Get Repo PRs More Info,graphql_2,921.75,27078
45,REST List Repos,rest,307.19,36311
45,GraphQL List Repos,graphql_1,612.75,1006
45,GraphQL List Repos More Info,graphql_2,1536.17,21604
45,REST Get Repo PRs,rest,881.21,1168277
45,GraphQL Get Repo PRs,graphql_1,449.75,3237
45,GraphQL Get Repo PRs More Info,graphql_2,1023.53,27078
46,REST List Repos,rest,409.34,36311
46,GraphQL List Repos,graphql_1,455.40,1006
46,GraphQL List Repos More Info,graphql_2,976.82,21604
46,REST Get Repo PRs,rest,694.11,1168277
46,GraphQL Get Repo PRs,graphql_1,535.04,3237
46,GraphQL Get Repo PRs More Info,graphql_2,1022.92,27078
47,REST List Repos,rest,305.87,36311
47,GraphQL List Repos,graphql_1,409.35,1006
47,GraphQL List Repos More Info,graphql_2,1127.07,21604
47,REST Get Repo PRs,rest,898.49,1168277
47,GraphQL Get Repo PRs,graphql_1,431.62,3237
47,GraphQL Get Repo PRs More Info,graphql_2,818.80,27078
48,REST List Repos,rest,306.32,36311
48,GraphQL List Repos,graphql_1,512.83,1006
48,GraphQL List Repos More Info,graphql_2,1227.57,21604
48,REST Get Repo PRs,rest,789.52,1168277
48,GraphQL Get Repo PRs,graphql_1,439.76,3237
48,GraphQL Get Repo PRs More Info,graphql_2,932.83,27078
49,REST List Repos,rest,396.37,36311
49,GraphQL List Repos,graphql_1,462.52,1006
49,GraphQL List Repos More Info,graphql_2,1380.63,21604
49,REST Get Repo PRs,rest,812.86,1168277
49,GraphQL Get Repo PRs,graphql_1,414.98,3237
49,GraphQL Get Repo PRs More Info,graphql_2,1024.44,27078
50,REST List Repos,rest,511.76,36311
50,GraphQL List Repos,graphql_1,509.59,1006
50,GraphQL List Repos More Info,graphql_2,1331.87,21604
50,REST Get Repo PRs,rest,789.20,1168277
50,GraphQL Get Repo PRs,graphql_1,437.98,3237
50,GraphQL Get Repo PRs More Info,graphql_2,923.06,27078
